CODE;TYPE;DESCRIPTION
"EF006344";"Logical";"With floating shoe"
"EF006345";"Logical";"Suitable for aluminium"
"EF006346";"Logical";"Suitable for plastic"
"EF006347";"Logical";"Suitable for copper"
"EF006348";"Logical";"Suitable for steel"
"EF006350";"Numeric";"Number of drill stages"
"EF006352";"Logical";"Suitable for asphalt"
"EF006353";"Logical";"Suitable for brick"
"EF006354";"Logical";"Suitable for concrete"
"EF006355";"Logical";"Suitable for concrete/concrete stone"
"EF006356";"Logical";"Suitable for armoured concrete"
"EF006357";"Logical";"Suitable for cast iron pipe"
"EF006358";"Logical";"Suitable for bluestone"
"EF006359";"Logical";"Suitable for calcium silicate brick"
"EF006360";"Logical";"Suitable for ceramics"
"EF006361";"Logical";"Suitable for metal"
"EF006362";"Logical";"Suitable for natural stone"
"EF006363";"Logical";"Suitable for chamotte"
"EF006364";"Logical";"Suitable for washed out concrete"
"EF006365";"Logical";"Suitable for roof tile"
"EF006366";"Numeric";"Number of guiding drills"
"EF006367";"Numeric";"Number of fork spanners"
"EF006368";"Numeric";"Number of hot air guns"
"EF006369";"Numeric";"Number of wood borers"
"EF006370";"Numeric";"Number of HSS spiral drills"
"EF006371";"Numeric";"Number of cable cutters"
"EF006372";"Numeric";"Number of coaxial tools"
"EF006373";"Numeric";"Number of crosshead screwdrivers PH"
"EF006374";"Numeric";"Number of crosshead screwdrivers PZ"
"EF006375";"Numeric";"Number of hole saws"
"EF006376";"Numeric";"Number of finishing tools fibre optic cable"
"EF006377";"Numeric";"Number of hole edge core drills"
"EF006378";"Numeric";"Number of ring spanners"
"EF006379";"Numeric";"Number of slotted screwdrivers"
"EF006380";"Numeric";"Number of socket inserts"
"EF006381";"Numeric";"Number of socket spanners"
"EF006382";"Numeric";"Number of open-end spanners"
"EF006383";"Numeric";"Number of stone drills"
"EF006384";"Numeric";"Number of step drills"
"EF006385";"Numeric";"Number of Torx screwdrivers"
"EF006386";"Numeric";"Total number of tools"
"EF006387";"Alphanumeric";"Battery type"
"EF006388";"Logical";"Stainless steel, pickled"
"EF006391";"Numeric";"Suitable for cable management system height"
"EF006392";"Logical";"Hinged joint horizontal"
"EF006393";"Logical";"Hinged joint vertical"
"EF006394";"Logical";"Suitable for rising ladder"
"EF006395";"Logical";"Application lightning protection"
"EF006397";"Logical";"Wide span model"
"EF006398";"Numeric";"Suitable for duct depth"
"EF006400";"Alphanumeric";"Surface protection column"
"EF006401";"Numeric";"Suitable for number of lamellas"
"EF006402";"Alphanumeric";"Mounting method box"
"EF006403";"Numeric";"Height baseboard duct"
"EF006404";"Numeric";"Depth plinth skirting duct"
"EF006405";"Alphanumeric";"Colour cover"
"EF006406";"Numeric";"Number of mounting openings"
"EF006407";"Logical";"Suitable for expansion joint"
"EF006408";"Logical";"Suitable for sub-floor duct overhead closed"
"EF006409";"Logical";"Suitable for sub-floor duct"
"EF006410";"Logical";"Suitable for hollow floor"
"EF006411";"Logical";"Suitable for double floor built-in"
"EF006412";"Numeric";"Number of round openings"
"EF006413";"Numeric";"Number of oval openings"
"EF006415";"Logical";"With connection opening"
"EF006416";"Logical";"With protrusion/offset"
"EF006417";"Logical";"Elbow plug"
"EF006418";"Logical";"Separable"
"EF006419";"Logical";"Safety transformer"
"EF006420";"Logical";"Luminaire with limited surface temperature, sign 'D'"
"EF006423";"Logical";"Covering of the luminaire with thermally insulating material possible"
"EF006426";"Logical";"With cable tray"
"EF006427";"Alphanumeric";"Material wire"
"EF006428";"Alphanumeric";"Wire colour"
"EF006432";"Logical";"Suitable for high voltage luminaires"
"EF006433";"Logical";"Suitable for low voltage luminaires"
"EF006434";"Numeric";"Max. diameter luminaire"
"EF006435";"Numeric";"Min. ceiling thickness"
"EF006436";"Numeric";"Suitable for number of lamps"
"EF006437";"Logical";"Surface polished"
"EF006443";"Numeric";"Thread size PG inner thread"
"EF006447";"Numeric";"Thread size PG outer thread"
"EF006451";"Logical";"With repair tape"
"EF006452";"Logical";"With abrasive cloth"
"EF006453";"Logical";"With cleaning cloth"
"EF006454";"Numeric";"Diameter shaft before shrink"
"EF006455";"Numeric";"Diameter shaft after shrink"
"EF006466";"Numeric";"Inner width"
"EF006467";"Logical";"Insulated cable end sleeves"
"EF006468";"Logical";"Insulated cable connections"
"EF006469";"Logical";"Non-insulated cable end sleeves"
"EF006471";"Logical";"Crimp cable lug for Cu-conductors"
"EF006472";"Logical";"Tube cable lug for Cu-conductors"
"EF006474";"Logical";"Cable screw glands"
"EF006475";"Logical";"With headband"
"EF006476";"Logical";"Folding"
"EF006479";"Logical";"Thread connection"
"EF006480";"Numeric";"Suitable for plate thickness"
"EF006481";"Logical";"Suitable for U-profile (8%)"
"EF006482";"Numeric";"Height hook"
"EF006483";"Logical";"With pump"
"EF006484";"Logical";"Extended top-piece"
"EF006485";"Logical";"With joint"
"EF006486";"Numeric";"Number of bits PH (crosshead)"
"EF006487";"Numeric";"Number of bits PZ (crosshead)"
"EF006488";"Numeric";"Number of bits Torx"
"EF006489";"Numeric";"Number of bits groove"
"EF006490";"Numeric";"Number of bits total"
"EF006491";"Logical";"With magnetic holder"
"EF006492";"Range";"Sizes"
"EF006493";"Numeric";"Number of keys"
"EF006494";"Range";"For lamp diameter"
"EF006495";"Range";"Span"
"EF006498";"Range";"Suitable for hole saw"
"EF006499";"Numeric";"Number of hole punches"
"EF006500";"Alphanumeric";"Material handle"
"EF006501";"Alphanumeric";"Material bristles"
"EF006502";"Numeric";"Max. cord diameter"
"EF006503";"Alphanumeric";"Material tray"
"EF006504";"Numeric";"Insulation value SNR"
"EF006505";"Logical";"With cord"
"EF006506";"Numeric";"Number of pairs"
"EF006507";"Logical";"Universal size"
"EF006508";"Range";"Collar size"
"EF006509";"Logical";"Short-sleeved"
"EF006510";"Logical";"With strap"
"EF006511";"Logical";"Hood removable"
"EF006512";"Logical";"Heat protection"
"EF006513";"Logical";"Protection against chemicals"
"EF006514";"Numeric";"Shoe size"
"EF006515";"Logical";"Suitable for hollow wall box"
"EF006516";"Logical";"Handle collapsible"
"EF006517";"Logical";"One hand control"
"EF006518";"Numeric";"Rope length"
"EF006519";"Numeric";"Outer diameter spout"
"EF006520";"Numeric";"Number of grinding stones"
"EF006521";"Logical";"Symmetrical model"
"EF006522";"Numeric";"Supply voltage lamp"
"EF006523";"Logical";"With protective insulation"
"EF006524";"Numeric";"Joy stick length"
"EF006525";"Logical";"Flashing light"
"EF006527";"Logical";"With screw nail"
"EF006529";"Alphanumeric";"Material screw"
"EF006530";"Alphanumeric";"Material clamp"
"EF006531";"Logical";"Double model"
"EF006533";"Logical";"Insulating"
"EF006534";"Logical";"Suitable for high voltage"
"EF006535";"Logical";"Vulcanizing"
"EF006536";"Numeric";"Min. busbar thickness"
"EF006537";"Numeric";"Lamella thickness"
"EF006538";"Numeric";"Number of lamellas"
"EF006539";"Numeric";"Max. number of padlocks"
"EF006540";"Range";"Suitable for shackle diameter"
"EF006551";"Numeric";"Number of fuses"
"EF006552";"Logical";"Rebuilding from fix to plug-in"
"EF006553";"Logical";"Rebuilding from plug-in to fix"
"EF006555";"Logical";"Ampere meter"
"EF006556";"Logical";"Blind power meter"
"EF006557";"Logical";"With rotational speed meter"
"EF006558";"Logical";"Frequency meter"
"EF006559";"Logical";"Pulse counter"
"EF006560";"Logical";"Voltmeter"
"EF006561";"Logical";"Effective power measurement device"
"EF006562";"Logical";"With hook"
"EF006569";"Alphanumeric";"Surface finishing"
"EF006570";"Logical";"Electronic controllable"
"EF006571";"Logical";"With miniature fuse"
"EF006572";"Logical";"Suitable for wall duct"
"EF006575";"Logical";"With flashlight"
"EF006577";"Numeric";"Number of CEE socket outlets"
"EF006578";"Numeric";"Number of socket outlets with earth pin"
"EF006579";"Numeric";"Number of other socket outlets"
"EF006580";"Numeric";"Number of cold device socket outlets"
"EF006581";"Range";"Detection angle vertical"
"EF006582";"Range";"Detection angle horizontal"
"EF006583";"Logical";"Suitable for wire wound low voltage transformer"
"EF006584";"Numeric";"Clock hour position"
"EF006585";"Logical";"With operation lever"
"EF006586";"Logical";"Type of end plate"
"EF006587";"Logical";"Type of partition"
"EF006588";"Numeric";"Inner height"
"EF006589";"Numeric";"Min. switch-on time"
"EF006590";"Numeric";"Max. duty cycle"
"EF006591";"Logical";"Clickable"
"EF006596";"Range";"Suitable for flange thickness"
"EF006597";"Logical";"With welded on nut"
"EF006599";"Logical";"Roofing sheet mounting with stud"
"EF006600";"Logical";"Plastic sheathed"
"EF006601";"Numeric";"Pin dimension"
"EF006602";"Alphanumeric";"Video norm"
"EF006603";"Numeric";"Number of monitor outputs"
"EF006604";"Logical";"With loop through function"
"EF006605";"Logical";"Automatic sequence"
"EF006606";"Logical";"Video loss function"
"EF006607";"Logical";"Text generator"
"EF006608";"Logical";"OSD-programming"
"EF006609";"Logical";"With communication interface"
"EF006610";"Logical";"Full screen at alarm"
"EF006611";"Logical";"Automatic alarm processing"
"EF006612";"Logical";"Interrupt free shifting"
"EF006613";"Range";"Output current"
"EF006615";"Numeric";"Size bit"
"EF006616";"Numeric";"Wrench size"
"EF006617";"Numeric";"Size crosshead"
"EF006618";"Numeric";"Size tap tool holder"
"EF006619";"Numeric";"Size tap wrench"
"EF006620";"Numeric";"Number of Euro socket outlets"
"EF006622";"Logical";"For lamp type HM"
"EF006623";"Logical";"For lamp type HS"
"EF006624";"Logical";"For lamp type LS"
"EF006625";"Logical";"For lamp type T16-R"
"EF006626";"Logical";"For lamp type T38"
"EF006627";"Logical";"For lamp type TC-F"
"EF006628";"Logical";"For lamp type TC-QEL"
"EF006629";"Logical";"For lamp type TC-SEL"
"EF006630";"Logical";"For lamp type T-U"
"EF006631";"Range";"Suitable for lamp power (1 lamp)"
"EF006632";"Range";"Suitable for lamp power (2 lamps)"
"EF006633";"Range";"Suitable for lamp power (3 lamps)"
"EF006634";"Range";"Suitable for lamp power (4 lamps)"
"EF006635";"Logical";"Suitable for explosion proof luminaires"
"EF006637";"Numeric";"Number of files"
"EF006638";"Numeric";"Number of bits hexagon socket"
"EF006640";"Alphanumeric";"Material of point"
"EF006641";"Logical";"Diamond wheel"
"EF006644";"Logical";"Suitable for wall mounting"
"EF006645";"Numeric";"Head width"
"EF006647";"Logical";"With editor for programming language Flowchart"
"EF006652";"Logical";"Digital in-/outputs, configurable"
"EF006653";"Logical";"Remote module"
"EF006657";"Logical";"Supporting protocol for SERCOS"
"EF006662";"Logical";"Supporting protocol for INTERBUS-Safety"
"EF006663";"Logical";"Supporting protocol for PROFIBUS Safety"
"EF006668";"Alphanumeric";"Release class"
"EF006669";"Numeric";"Suitable for number of built-in signal lights"
"EF006670";"Numeric";"Number of mushroom-shaped push-buttons"
"EF006671";"Alphanumeric";"Position of connection for main current circuit"
"EF006673";"Logical";"110-compatible"
"EF006674";"Alphanumeric";"Branch off type"
"EF006679";"Logical";"Suitable for head light passenger car"
"EF006680";"Logical";"Suitable for head light truck"
"EF006681";"Logical";"Suitable for other lighting passenger car"
"EF006682";"Logical";"Suitable for other lighting truck"
"EF006685";"Range";"Height chimney"
"EF006686";"Numeric";"Height cap"
"EF006687";"Range";"Total height"
"EF006688";"Logical";"Edge exhaustion"
"EF006689";"Logical";"Castor adjustment"
"EF006690";"Logical";"Acoustic damping"
"EF006691";"Logical";"With short-circuit release"
"EF006692";"Alphanumeric";"Suitable for fuses"
"EF006693";"Logical";"With fuse"
"EF006694";"Logical";"Forced opening"
"EF006697";"Logical";"Motor drive integrated"
"EF006700";"Range";"For thread diameter"
"EF006702";"Alphanumeric";"Type of shaft"
"EF006703";"Logical";"Printer integrated"
"EF006704";"Logical";"With reset function"
"EF006705";"Range";"Frequency input voltage"
"EF006706";"Numeric";"Rated switch current"
"EF006707";"Numeric";"Push button glow-lamp current"
"EF006708";"Range";"Adjustment range brightness value"
"EF006709";"Alphanumeric";"Protection class light sensor"
"EF006710";"Alphanumeric";"Mounting method light sensor"
"EF006711";"Alphanumeric";"Monitoring voltage"
"EF006712";"Numeric";"Assembly depth"
"EF006713";"Logical";"Central function OUT"
"EF006715";"Logical";"Stair light and forewarn"
"EF006716";"Numeric";"Castor function, number of channels"
"EF006717";"Numeric";"Number of universal dim channels"
"EF006718";"Numeric";"Roller shutter-/sun protection control, number of channels"
"EF006719";"Range";"Wind sensor"
"EF006720";"Logical";"Rain sensor"
"EF006721";"Range";"Temperature sensor"
"EF006722";"Range";"Brightness sensor"
"EF006723";"Range";"Twilight sensor"
"EF006724";"Numeric";"Module expansion up to max. number of channels"
"EF006725";"Alphanumeric";"Identification colour"
"EF006726";"Alphanumeric";"Voltage according to EN 60309-2"
"EF006727";"Logical";"Days off programmable"
"EF006728";"Logical";"Sub-clocks controllable over bus-system"
"EF006729";"Logical";"Temperature control with built-in continuous control"
"EF006730";"Logical";"Buttons for manual operation at the drive"
"EF006731";"Logical";"Temperature and stroke indication"
"EF006733";"Logical";"Voltage supply over bus"
"EF006735";"Logical";"With DCF77"
"EF006736";"Logical";"Acoustic signal"
"EF006737";"Logical";"Interface 1-10 V"
"EF006738";"Logical";"Modular expandability"
"EF006741";"Logical";"Correcting variable consistent"
"EF006742";"Logical";"Correcting variable switching"
"EF006743";"Logical";"Valve protection function"
"EF006744";"Logical";"Manual switch"
"EF006745";"Logical";"Suitable for built-in installation"
"EF006748";"Logical";"With exchangeable symbol"
"EF006751";"Logical";"With screw gland entry"
"EF006752";"Logical";"With voice announcement function"
"EF006753";"Logical";"With tuner"
"EF006754";"Logical";"With frequency indication"
"EF006755";"Alphanumeric";"Suitable for degree of protection (IP)"
"EF006756";"Numeric";"Number of installation boxes"
"EF006757";"Alphanumeric";"Material keyboard"
"EF006758";"Alphanumeric";"Connection network"
"EF006759";"Logical";"Suitable for table mounting"
"EF006760";"Logical";"Suitable for built-in mounting"
"EF006761";"Logical";"Hands free kit"
"EF006762";"Alphanumeric";"Signal type"
"EF006765";"Numeric";"Number of colours"
"EF006766";"Numeric";"Number of modes"
"EF006767";"Logical";"Built-in acoustic signal"
"EF006769";"Numeric";"Number of connections per pole"
"EF006771";"Alphanumeric";"Pole codification"
"EF006772";"Alphanumeric";"Colour coding/contact insert"
"EF006773";"Numeric";"Fire load"
"EF006776";"Alphanumeric";"Built-in version"
"EF006780";"Range";"Mains voltage"
"EF006781";"Range";"Rated operation current Ie"
"EF006783";"Alphanumeric";"Mains frequency"
"EF006784";"Numeric";"Resolution of the light curtain"
"EF006785";"Alphanumeric";"Over voltage category"
"EF006786";"Alphanumeric";"Pollution degree"
"EF006789";"Alphanumeric";"Component of the desk system"
"EF006790";"Numeric";"Output voltage at AC"
"EF006792";"Range";"1st secondary output voltage"
"EF006793";"Range";"1st secondary output voltage at AC"
"EF006794";"Range";"1st secondary output voltage at DC"
"EF006795";"Alphanumeric";"Mounting level"
"EF006796";"Alphanumeric";"Type of profile rail"
"EF006797";"Range";"2nd secondary output voltage"
"EF006798";"Range";"2nd secondary output voltage at AC"
"EF006799";"Range";"2nd secondary output voltage at DC"
"EF006800";"Range";"3rd secondary output voltage"
"EF006801";"Range";"3rd secondary output voltage at AC"
"EF006802";"Range";"3rd secondary output voltage at DC"
"EF006803";"Logical";"4-quadrant operation possible"
"EF006805";"Logical";"Alarm-management"
"EF006807";"Logical";"Analogue output 0 V ... 10 V"
"EF006808";"Logical";"Analogue output 0 mA ... 20 mA"
"EF006809";"Logical";"Analogue output -10 V ... +10 V"
"EF006810";"Logical";"Analogue output 4 mA ... 20 mA"
"EF006811";"Alphanumeric";"Add-on type"
"EF006812";"Numeric";"Initial value measuring range pressure"
"EF006815";"Alphanumeric";"Alignment of cooling unit"
"EF006816";"Alphanumeric";"Connectable cable type"
"EF006817";"Logical";"Connection for NPN-sensors"
"EF006819";"Alphanumeric";"Type of electrical connection of main circuit"
"EF006820";"Alphanumeric";"Connection type auxiliary circuit"
"EF006821";"Alphanumeric";"Connection type conductor"
"EF006822";"Alphanumeric";"Connection type PCB"
"EF006823";"Numeric";"Diameter connection pin"
"EF006824";"Numeric";"Strip length"
"EF006825";"Numeric";"Length pin"
"EF006826";"Alphanumeric";"Material connection surface"
"EF006827";"Numeric";"Modular spacing connections"
"EF006830";"Numeric";"Number of analogue outputs, integrated"
"EF006832";"Numeric";"Number of analogue inputs, integrated"
"EF006833";"Numeric";"Number of connectable valves"
"EF006835";"Numeric";"Number of outputs, undelayed, normally closed contact"
"EF006836";"Numeric";"Number of outputs, undelayed, normally open contact"
"EF006837";"Numeric";"Number of outputs, undelayed, change-over contact"
"EF006838";"Numeric";"Number of outputs, delayed, normally closed contact"
"EF006839";"Numeric";"Number of outputs, delayed, normally open contact"
"EF006840";"Numeric";"Number of outputs, delayed, change-over contact"
"EF006841";"Numeric";"Number of output ranges +10 V ... -10 V"
"EF006842";"Numeric";"Number of output ranges +5 V ... -5 V"
"EF006843";"Numeric";"Number of output ranges 0 V ... 1 V"
"EF006844";"Numeric";"Number of output ranges 0 mA ... 10 mA"
"EF006845";"Numeric";"Number of output ranges 0 V ... 10 V"
"EF006846";"Numeric";"Number of output ranges 0 mV ... 100 mV"
"EF006847";"Numeric";"Number of output ranges 0 V ... 2 V"
"EF006848";"Numeric";"Number of output ranges 0 V ... 2.5 V"
"EF006849";"Numeric";"Number of output ranges 0 mA ... 20 mA"
"EF006850";"Numeric";"Number of output ranges 0 V ... 20 V"
"EF006851";"Numeric";"Number of output ranges 0 mV ... 200 mV"
"EF006852";"Numeric";"Number of output ranges 0 V ... 24 V"
"EF006853";"Numeric";"Number of output ranges 0 V ... 30 V"
"EF006854";"Numeric";"Number of output ranges 0 mV ... 300 mV"
"EF006855";"Numeric";"Number of output ranges 0 mA ... 5 mA"
"EF006856";"Numeric";"Number of output ranges 0 V ... 5 V"
"EF006857";"Numeric";"Number of output ranges 0 mV ... 500 mV"
"EF006858";"Numeric";"Number of output ranges 0 mV ... 60 mV"
"EF006859";"Numeric";"Number of output ranges -1 V ... +1 V"
"EF006860";"Numeric";"Number of output ranges 1 V ... 5 V"
"EF006861";"Numeric";"Number of output ranges -10 mA ... +10 mA"
"EF006862";"Numeric";"Number of output ranges -10 V ... +10 V"
"EF006863";"Numeric";"Number of output ranges 10 V ... 0 V"
"EF006864";"Numeric";"Number of output ranges 10 V ... 2 V"
"EF006865";"Numeric";"Number of output ranges -100 mV ... +100 mV"
"EF006866";"Numeric";"Number of output ranges -2 V ... +2 V"
"EF006867";"Numeric";"Number of output ranges 2 V ... 10 V"
"EF006868";"Numeric";"Number of output ranges -2.5 V ... +2.5 V"
"EF006869";"Numeric";"Number of output ranges -20 mA ... +20 mA"
"EF006870";"Numeric";"Number of output ranges -20 V ... +20 V"
"EF006871";"Numeric";"Number of output ranges 20 mA ... 0 mA"
"EF006872";"Numeric";"Number of output ranges 20 mA ... 4 mA"
"EF006873";"Numeric";"Number of output ranges -300 mV ... +300 mV"
"EF006874";"Numeric";"Number of output ranges 4 mA ... 20 mA"
"EF006875";"Numeric";"Number of output ranges -5 mA ... +5 mA"
"EF006876";"Numeric";"Number of output ranges -5 V ... +5 V"
"EF006877";"Numeric";"Number of output ranges 5 V ... 0 V"
"EF006878";"Numeric";"Number of output ranges 5 V ... 1 V"
"EF006879";"Numeric";"Number of output ranges -500 mV ... +500 mV"
"EF006880";"Numeric";"Number of output ranges -60 mV ... +60 mV"
"EF006882";"Numeric";"Number of integrated digital outputs"
"EF006883";"Numeric";"Number of integrated digital inputs"
"EF006884";"Numeric";"Number of displays"
"EF006885";"Numeric";"Number of channels per connector slot"
"EF006886";"Numeric";"Number of inputs, according to NAMUR"
"EF006887";"Numeric";"Number of inputs, potential-free"
"EF006888";"Numeric";"Number of input ranges +10 V ... -10 V"
"EF006889";"Numeric";"Number of input ranges +5 V ... -5 V"
"EF006890";"Numeric";"Number of input ranges 0 V ... 1 V"
"EF006891";"Numeric";"Number of input ranges 0 mA ... 10 mA"
"EF006892";"Numeric";"Number of input ranges 0 V ... 10 V"
"EF006893";"Numeric";"Number of input ranges 0 mV ... 100 mV"
"EF006894";"Numeric";"Number of input ranges 0 V ... 2 V"
"EF006895";"Numeric";"Number of input ranges 0 V ... 2.5 V"
"EF006896";"Numeric";"Number of input ranges 0 mA ... 20 mA"
"EF006897";"Numeric";"Number of input ranges 0 V ... 20 V"
"EF006898";"Numeric";"Number of input ranges 0 mV ... 200 mV"
"EF006899";"Numeric";"Number of input ranges 0 V ... 24 V"
"EF006900";"Numeric";"Number of input ranges 0 V ... 30 V"
"EF006901";"Numeric";"Number of input ranges 0 mV ... 300 mV"
"EF006902";"Numeric";"Number of input ranges 0 mA ... 5 mA"
"EF006903";"Numeric";"Number of input ranges 0 V ... 5 V"
"EF006904";"Numeric";"Number of input ranges 0 mV ... 500 mV"
"EF006905";"Numeric";"Number of input ranges 0 mV ... 60 mV"
"EF006906";"Numeric";"Number of input ranges -1 V ... +1 V"
"EF006907";"Numeric";"Number of input ranges 1 V ... 5 V"
"EF006908";"Numeric";"Number of input ranges -10 mA ... +10 mA"
"EF006909";"Numeric";"Number of input ranges -10 V ... +10 V"
"EF006910";"Numeric";"Number of input ranges 10 V ... 0 V"
"EF006911";"Numeric";"Number of input ranges 10 V ... 2 V"
"EF006912";"Numeric";"Number of input ranges -100 mV ... +100 mV"
"EF006913";"Numeric";"Number of input ranges -2 V ... +2 V"
"EF006914";"Numeric";"Number of input ranges 2 V ... 10 V"
"EF006915";"Numeric";"Number of input ranges -2.5 V ... +2.5 V"
"EF006916";"Numeric";"Number of input ranges -20 mA ... +20 mA"
"EF006917";"Numeric";"Number of input ranges -20 V ... +20 V"
"EF006918";"Numeric";"Number of input ranges 20 mA ... 0 mA"
"EF006919";"Numeric";"Number of input ranges 20 mA ... 4 mA"
"EF006920";"Numeric";"Number of input ranges -300 mV ... +300 mV"
"EF006921";"Numeric";"Number of input ranges 4 mA ... 20 mA"
"EF006922";"Numeric";"Number of input ranges -5 mA ... +5 mA"
"EF006923";"Numeric";"Number of input ranges -5 V ... +5 V"
"EF006924";"Numeric";"Number of input ranges 5 V ... 0 V"
"EF006925";"Numeric";"Number of input ranges 5 V ... 1 V"
"EF006926";"Numeric";"Number of input ranges -500 mV ... +500 mV"
"EF006927";"Numeric";"Number of input ranges -60 mV ... +60 mV"
"EF006929";"Numeric";"Number of electronic outputs"
"EF006931";"Logical";"Number of fixed inputs"
"EF006932";"Numeric";"Number of interfaces PROFINET"
"EF006933";"Numeric";"Number of HW-interfaces Wireless"
"EF006934";"Numeric";"Number of plug-in contact inserts"
"EF006935";"Numeric";"Number of plug-in contact rows"
"EF006936";"Numeric";"Number of outputs, with contact"
"EF006937";"Numeric";"Number of switching points"
"EF006938";"Range";"Number of steps per revolution"
"EF006939";"Numeric";"Number of sensor-/actuator-slots"
"EF006940";"Numeric";"Number of safety auxiliary contacts"
"EF006941";"Numeric";"Number of status indications"
"EF006943";"Range";"Number of revolutions"
"EF006945";"Logical";"Number of selectable inputs"
"EF006946";"Numeric";"Number of limit values"
"EF006947";"Numeric";"Number of primary inputs"
"EF006949";"Alphanumeric";"Type of actuation"
"EF006950";"Alphanumeric";"Type of process connection"
"EF006952";"Logical";"Pluggable on auxiliary contact block"
"EF006954";"Logical";"Version as built-in device"
"EF006959";"Logical";"Version as emergency stop installation"
"EF006965";"Logical";"Version as busbar adapter"
"EF006966";"Logical";"Version as glazed door"
"EF006967";"Logical";"Version as door for disconnecting switch interlocking"
"EF006968";"Alphanumeric";"Type of shaft encoder"
"EF006969";"Alphanumeric";"Type of switch function of the inputs"
"EF006972";"Alphanumeric";"Type of branches for sensor-/actuator cables"
"EF006974";"Alphanumeric";"Sort of temperature control"
"EF006976";"Alphanumeric";"Type of control element"
"EF006977";"Alphanumeric";"Type of interface"
"EF006978";"Alphanumeric";"Type of converter"
"EF006979";"Alphanumeric";"Type of electrical connection for auxiliary- and control current circuit"
"EF006980";"Alphanumeric";"Type of housing"
"EF006981";"Logical";"Version as main switch"
"EF006982";"Alphanumeric";"Type of coding element"
"EF006985";"Logical";"Version as safety switch"
"EF006986";"Logical";"Version as maintenance-/service switch"
"EF006987";"Logical";"Output electronic"
"EF006988";"Logical";"Outputs, reversible delayed/undelayed"
"EF006991";"Numeric";"Number of output circuits opto-coupler"
"EF006992";"Numeric";"Number of output circuits relays normally open contact"
"EF006993";"Numeric";"Number of output circuits relays change-over contact"
"EF006994";"Numeric";"Number of output circuits transistor antivalent"
"EF006995";"Numeric";"Number of output circuits transistor npn"
"EF006996";"Numeric";"Number of output circuits transistor pnp"
"EF006997";"Numeric";"Number of output circuits transistor potential-free"
"EF006998";"Alphanumeric";"Number of phases output"
"EF006999";"Range";"Output voltage at AC 50 Hz"
"EF007000";"Range";"Output voltage at AC 60 Hz"
"EF007001";"Range";"Output voltage at DC"
"EF007002";"Logical";"Secondary voltage adjustable"
"EF007005";"Logical";"Built as energy saving transformer"
"EF007006";"Logical";"With switched-off indicator"
"EF007007";"Alphanumeric";"Switch off technique"
"EF007008";"Range";"Switch off pressure"
"EF007009";"Range";"Adjustable switch off temperature"
"EF007010";"Numeric";"AWG-number"
"EF007011";"Alphanumeric";"Type of banding"
"EF007016";"Logical";"Front built-in possible"
"EF007017";"Logical";"Mounting type, gallows mounting"
"EF007018";"Logical";"Rack-assembly possible"
"EF007019";"Logical";"Mounting type, table foot"
"EF007020";"Logical";"Wall mounting/direct mounting"
"EF007024";"Range";"Rated operation frequency"
"EF007025";"Numeric";"Rated operation power at AC-3, 230 V"
"EF007026";"Numeric";"Rated operation power at DC-3 / DC-5 at 440 V"
"EF007027";"Numeric";"Rated operation power at AC-23, 400 V"
"EF007029";"Range";"Rated voltage Ue at AC 50 Hz"
"EF007030";"Range";"Rated voltage Ue at AC 60 Hz"
"EF007031";"Range";"Rated voltage Ue at DC"
"EF007033";"Numeric";"Rated operation current Ie at AC-15, 600 V"
"EF007035";"Numeric";"Rated operation current Ie at DC-3 / DC-5 at 440 V"
"EF007039";"Numeric";"Rated operation current Ie at 40 °C Tu"
"EF007040";"Numeric";"Rated operation current Ie at AC12, 125 V"
"EF007041";"Numeric";"Rated operation current Ie at AC12, 220 V"
"EF007042";"Numeric";"Rated operation current Ie at AC12, 24 V"
"EF007043";"Numeric";"Rated operation current Ie at DC-12, 24 V"
"EF007044";"Numeric";"Rated blind power at 400 V, 50 Hz"
"EF007048";"Numeric";"Rated short-circuit breaking capacity lcu at 400 V, 50 Hz"
"EF007049";"Numeric";"Rated short-circuit breaking capacity lcu at 400 V, AC"
"EF007050";"Numeric";"Rated short-time withstand current lcw"
"EF007051";"Numeric";"Rated power"
"EF007053";"Numeric";"Rated power three-phase motor, inline, at 230 V"
"EF007054";"Numeric";"Rated power three-phase motor, inline, at 400 V"
"EF007055";"Numeric";"Rated power three-phase motor, inside delta, at 230 V"
"EF007056";"Numeric";"Rated power three-phase motor, inside delta, at 400 V"
"EF007065";"Range";"Rated voltage at AC 50 Hz"
"EF007066";"Range";"Rated voltage at AC 60 Hz"
"EF007067";"Range";"Rated voltage at DC"
"EF007068";"Range";"Rated control supply voltage Us magnet drive at AC 50 Hz"
"EF007069";"Range";"Rated control supply voltage Us magnet drive at AC 60 Hz"
"EF007070";"Range";"Rated control supply voltage Us magnet drive at DC"
"EF007074";"Numeric";"Rated surrounding temperature without derating"
"EF007075";"Range";"Rated supply voltage at AC"
"EF007076";"Range";"Rated supply voltage at AC 50 Hz"
"EF007077";"Range";"Rated supply voltage at AC 60 Hz"
"EF007078";"Range";"Rated supply voltage at DC"
"EF007080";"Numeric";"Bursting pressure"
"EF007082";"Numeric";"Rated operation current Ie at AC-15, 125 V"
"EF007084";"Numeric";"Rated operation current Ie at AC-15, 24 V"
"EF007085";"Numeric";"Rated operation current Ie at DC-13, 125 V"
