CODE;VERSION;DESCRIPTION;STATUS;GROUP_CODE
"EC001638";"5";"D0-system protective cover";"Published";"EG000020"
"EC001641";"6";"Hour meter";"Published";"EG000045"
"EC001642";"5";"D0-system fuse link";"Published";"EG000020"
"EC001643";"5";"D0-system screw cap";"Published";"EG000020"
"EC001644";"5";"D0-system fuse base";"Published";"EG000020"
"EC001645";"6";"Twilight switch for distribution board";"Published";"EG000062"
"EC001651";"5";"Mains disconnection relay";"Published";"EG000062"
"EC001652";"5";"Installation relay";"Published";"EG000062"
"EC001653";"7";"Installation contactor for distribution board";"Published";"EG000062"
"EC001655";"5";"Load shedding relay for distribution board";"Published";"EG000062"
"EC001657";"5";"Indicator light for distribution board";"Published";"EG000062"
"EC001659";"6";"Accessories/spare parts for Low Voltage HRC fuse";"Published";"EG000020"
"EC001660";"6";"Accessories/spare parts for Low Voltage HRC fuse bases";"Published";"EG000020"
"EC001663";"6";"Socket outlet for distribution board";"Published";"EG000062"
"EC001664";"7";"Socket switch clock";"Published";"EG000062"
"EC001666";"6";"Temperature controller for distribution board";"Published";"EG000062"
"EC001667";"4";"Under voltage monitoring relay for distribution board";"Published";"EG000062"
"EC001668";"4";"Alarm unit for distribution board";"Published";"EG000062"
"EC001669";"5";"Timer relay for distribution board";"Published";"EG000062"
"EC001670";"5";"Central control system for buildings";"Published";"EG000062"
"EC001671";"5";"Cable sharing adapter";"Published";"EG000037"
"EC001672";"5";"Printer";"Published";"EG000038"
"EC001673";"6";"Accessories/spare parts for fix telephone";"Published";"EG000038"
"EC001674";"6";"Accessories/spare parts for cordless phone";"Published";"EG000038"
"EC001675";"6";"Accessories/spare parts for fax/printer/MFC";"Published";"EG000038"
"EC001677";"4";"ISDN distributor";"Published";"EG000037"
"EC001679";"6";"Cable bending restrictor";"Published";"EG000037"
"EC001681";"6";"Telecommunications patch cord";"Published";"EG000037"
"EC001682";"6";"Coax patch cord";"Published";"EG000037"
"EC001684";"6";"All-in-one (fax/printer/scanner)";"Published";"EG000038"
"EC001685";"6";"Microscope for glass fibre";"Published";"EG000037"
"EC001686";"4";"Microscope adapter for glass fibre";"Published";"EG000037"
"EC001687";"4";"Furnace for glass fibre";"Published";"EG000037"
"EC001688";"5";"Fibre optic polishing mould";"Published";"EG000037"
"EC001689";"4";"Fibre optic polishing emery cloth";"Published";"EG000037"
"EC001690";"5";"Fibre optic polishing machine";"Published";"EG000037"
"EC001691";"4";"Analogue telephone with cord";"Published";"EG000038"
"EC001692";"5";"Keyboard";"Published";"EG000038"
"EC001694";"5";"Fax/printer/all-in-one supplies";"Published";"EG000038"
"EC001695";"4";"VoIP gateway";"Published";"EG000038"
"EC001696";"4";"VoIP telephone";"Published";"EG000038"
"EC001697";"6";"Forerun-/trail fibre (fibre optic measuring)";"Published";"EG000037"
"EC001698";"7";"Wireless antenna";"Published";"EG000037"
"EC001699";"4";"Fibre optic polishing mat";"Published";"EG000037"
"EC001716";"8";"High bay luminaire";"Published";"EG000027"
"EC001743";"8";"Pendant luminaire";"Published";"EG000027"
"EC001744";"8";"Downlight/spot/floodlight";"Published";"EG000027"
"EC001746";"8";"Photovoltaics module";"Published";"EG000055"
"EC001747";"8";"DC/AC grid inverter";"Published";"EG000055"
"EC001748";"5";"Photovoltaics charge controller";"Published";"EG000055"
"EC001749";"6";"Photovoltaics standalone inverter";"Published";"EG000055"
"EC001750";"7";"Photovoltaics complete set";"Published";"EG000055"
"EC001751";"6";"Photovoltaics roof-/facade fastener";"Published";"EG000055"
"EC001752";"7";"Photovoltaics mounting system";"Published";"EG000055"
"EC001753";"7";"Photovoltaics connecting and mounting element";"Published";"EG000055"
"EC001754";"7";"Solar mounting profile";"Published";"EG000055"
"EC001755";"6";"Photovoltaics large display";"Published";"EG000055"
"EC001756";"8";"Photovoltaics data logger";"Published";"EG000055"
"EC001757";"7";"Solar-battery";"Published";"EG000055"
"EC001758";"5";"Indicator for glass breakage/vibration/mechanical vibration";"Published";"EG000054"
"EC001759";"5";"Detection contact for security technique";"Published";"EG000054"
"EC001761";"5";"Opening detector for intrusion detection system";"Published";"EG000054"
"EC001762";"5";"Movement sensor for intrusion detection system";"Published";"EG000054"
"EC001763";"8";"Fire detector";"Published";"EG000054"
"EC001764";"6";"Technical detector for intrusion detection system";"Published";"EG000054"
"EC001765";"7";"Non-automatic detector for danger detection system";"Published";"EG000054"
"EC001766";"5";"Alarm transfer device";"Published";"EG000054"
"EC001767";"6";"Operating and display device for intrusion detection system";"Published";"EG000054"
"EC001768";"5";"Door locking central station";"Published";"EG000054"
"EC001769";"7";"Permanent magnet for door locking mechanism";"Published";"EG000054"
"EC001770";"7";"Access control system";"Published";"EG000054"
"EC001771";"6";"Electronic data medium for switchgear";"Published";"EG000054"
"EC001772";"5";"Matrix memory for video surveillance system";"Published";"EG000054"
"EC001773";"5";"Protective housing for surveillance camera";"Published";"EG000054"
"EC001774";"6";"Signal converter for monitoring system";"Published";"EG000054"
"EC001775";"5";"Control point for rescue route technology";"Published";"EG000054"
"EC001776";"5";"Lens for surveillance camera";"Published";"EG000054"
"EC001777";"7";"Warning/signing plate";"Published";"EG000060"
"EC001781";"8";"Power supply consumer electronics";"Published";"EG000053"
"EC001790";"4";"Sealing insert for built-in installation box";"Published";"EG000048"
"EC001793";"4";"Separation plate for junction box";"Published";"EG000048"
"EC001794";"4";"Equipment carrier for insulated walls";"Published";"EG000048"
"EC001795";"5";"Wall-ceiling transition for concrete construction";"Published";"EG000048"
"EC001796";"6";"Junction box for ceiling luminaire";"Published";"EG000048"
"EC001817";"6";"Colour sensor";"Published";"EG000026"
"EC001818";"6";"Inductive distance sensor";"Published";"EG000026"
"EC001820";"6";"Contrast sensor";"Published";"EG000026"
"EC001821";"6";"Diffuse reflective photoelectric sensor";"Published";"EG000026"
"EC001822";"6";"Luminescence sensor";"Published";"EG000026"
"EC001824";"6";"Multilayer test sensor";"Published";"EG000026"
"EC001825";"6";"Optical distance sensor";"Published";"EG000026"
"EC001829";"7";"Position switch modular";"Published";"EG000026"
"EC001831";"6";"Single beam light curtain";"Published";"EG000026"
"EC001832";"4";"Multiple beam light curtain";"Published";"EG000026"
"EC001846";"6";"Ultrasonic distance sensor";"Published";"EG000026"
"EC001847";"6";"Ultrasonic single beam reflex light curtain";"Published";"EG000026"
"EC001848";"6";"Ultrasonic reflex light curtain";"Published";"EG000026"
"EC001849";"7";"Ultrasonic proximity switch";"Published";"EG000026"
"EC001851";"7";"Electric motor";"Published";"EG000034"
"EC001852";"4";"Way sensor";"Published";"EG000026"
"EC001855";"8";"Sensor-actuator patch cord";"Published";"EG000026"
"EC001857";"7";"Frequency converter =&lt; 1 kV";"Published";"EG000017"
"EC001858";"7";"Wine fridge";"Published";"EG000039"
"EC001859";"8";"Baking oven";"Published";"EG000039"
"EC001860";"6";"Heater for cutlery";"Published";"EG000039"
"EC001868";"4";"Hoover outlet";"Published";"EG000043"
"EC001873";"4";"Built-under mounting set for domestic appliances";"Published";"EG000039"
"EC001874";"4";"Stacking kit wash-/dry column";"Published";"EG000039"
"EC001875";"5";"Enclosure/cabinet for built-in domestic appliances";"Published";"EG000039"
"EC001876";"5";"Built-under base for domestic appliances";"Published";"EG000039"
"EC001877";"6";"Sink cabinet";"Published";"EG017960"
"EC001878";"5";"Portable cabinet for built-in domestic appliances";"Published";"EG000039"
"EC001879";"7";"Accessories/spare parts for cooking device/baking device";"Published";"EG000039"
"EC001880";"5";"Storage basket for freezer";"Published";"EG000039"
"EC001881";"7";"Accessories/spare parts for dishwasher, washing and drying";"Published";"EG000039"
"EC001882";"5";"Waste separation system";"Published";"EG000039"
"EC001883";"6";"Stone set for storage heater";"Published";"EG000043"
"EC001884";"4";"Sauna furnace";"Published";"EG000043"
"EC001885";"6";"Accessories/spare parts for sauna furnace";"Published";"EG000043"
"EC001889";"7";"Oscilloscope";"Published";"EG000044"
"EC001890";"6";"Process calibrator";"Published";"EG000044"
"EC001891";"6";"Sabre saw (battery)";"Published";"EG000051"
"EC001892";"4";"Distributor assembly with protection against contact";"Published";"EG000015"
"EC001893";"4";"Distributor assembly for device surface mounting";"Published";"EG000015"
"EC001894";"4";"Distributor assembly terminal blocks";"Published";"EG000015"
"EC001896";"5";"Distributor assembly busbars";"Published";"EG000015"
"EC001897";"4";"Distributor assembly switch";"Published";"EG000015"
"EC001898";"4";"Wiring band";"Published";"EG000015"
"EC001899";"8";"Touch-up stick/spray";"Published";"EG000060"
"EC001900";"6";"Busbar system for distribution boards";"Published";"EG000015"
"EC001901";"6";"Underfloor installation duct flush floor open";"Published";"EG000005"
"EC001902";"5";"Underfloor installation duct flush floor";"Published";"EG000005"
"EC001903";"5";"Junction box insert for underfloor installation";"Published";"EG000005"
"EC001905";"5";"Duct outlet for underfloor system";"Published";"EG000005"
"EC001906";"4";"Mounting cover for underfloor draw-in box";"Published";"EG000005"
"EC001907";"4";"Stacking frame for underfloor box";"Published";"EG000005"
"EC001908";"5";"Cassette frame with cassette";"Published";"EG000005"
"EC001909";"4";"Mounting set for device installation under cassette";"Published";"EG000005"
"EC001912";"4";"Cover for duct outlet";"Published";"EG000005"
"EC001913";"5";"Blind plate for duct exit";"Published";"EG000005"
"EC001914";"5";"Tube cable outlet";"Published";"EG000005"
"EC001915";"4";"Outlet box for underfloor installation";"Published";"EG000005"
"EC001916";"4";"Raised floor distribution system";"Published";"EG000005"
"EC001918";"6";"Pre-wired mounting box power current";"Published";"EG000005"
"EC001920";"5";"Partition piece for mounting box";"Published";"EG000005"
"EC001922";"5";"Strain relief for mounting box";"Published";"EG000005"
"EC001923";"5";"Slot in cable extension for installation units";"Published";"EG000005"
"EC001925";"5";"Extension unit for underfloor installation duct flush floor open";"Published";"EG000005"
"EC001926";"4";"Junction unit for underfloor installation duct flush floor open";"Published";"EG000005"
"EC001929";"5";"Support strip for cover for underfloor installation ducting systems";"Published";"EG000005"
"EC001931";"6";"Floor guide profile flush for underfloor installation duct flush floor";"Published";"EG000005"
"EC001932";"5";"Cover joint seal for underfloor installation duct flush floor";"Published";"EG000005"
"EC001935";"5";"Earth conductor clamp for underfloor installation ducting";"Published";"EG000005"
"EC001936";"5";"Cable clip for installation duct";"Published";"EG000006"
"EC001937";"6";"Cable protection for installation duct";"Published";"EG000006"
"EC001938";"7";"Wall duct";"Published";"EG000006"
"EC001939";"5";"Tee for wall duct";"Published";"EG000006"
"EC001940";"6";"Transition piece for skirting duct";"Published";"EG000006"
"EC001941";"7";"Installation column";"Published";"EG000008"
"EC001942";"5";"Corner duct";"Published";"EG000006"
"EC001943";"5";"Inner corner for corner duct";"Published";"EG000006"
"EC001946";"5";"End piece for corner duct";"Published";"EG000006"
"EC001947";"5";"Tee for corner duct";"Published";"EG000006"
"EC001948";"5";"Transition piece for corner duct/installation duct";"Published";"EG000006"
"EC001949";"6";"Bend for mesh cable tray";"Published";"EG000004"
"EC001950";"6";"Insert plate for cable ladder";"Published";"EG000004"
"EC001951";"7";"Low voltage cable system";"Published";"EG000027"
"EC001952";"8";"Explosion proof luminaire fixed mounting";"Published";"EG000027"
"EC001955";"7";"Sign luminaire";"Published";"EG000027"
"EC001957";"8";"Emergency luminaire";"Published";"EG000027"
"EC001958";"6";"Airport lighting lamp";"Published";"EG000028"
"EC001959";"8";"LED-lamp/Multi-LED";"Published";"EG000028"
"EC001960";"6";"Neon lamp";"Published";"EG000028"
"EC001961";"5";"Ignition transformer";"Published";"EG000029"
"EC002005";"4";"Test device for emergency power luminaires";"Published";"EG000030"
"EC002006";"5";"Front panel/patch panel empty (enclosure/cabinet)";"Published";"EG000011"
"EC002009";"5";"Condensate drain (enclosure/cabinet)";"Published";"EG000011"
"EC002018";"5";"Component plug terminal block";"Published";"EG000012"
"EC002019";"4";"Connection vane/phase spreader";"Published";"EG000017"
"EC002020";"6";"Shield connection clamp";"Published";"EG000012"
"EC002021";"6";"Terminal block connector";"Published";"EG000012"
"EC002023";"5";"Blind cover for command devices";"Published";"EG000017"
"EC002024";"6";"Accessories/spare parts for command devices";"Published";"EG000017"
"EC002025";"7";"Accessories/spare parts for frequency controller";"Published";"EG000017"
"EC002026";"7";"Accessories/spare parts for emergency stop pull cord switch";"Published";"EG000017"
"EC002027";"6";"Accessories/spare parts for overload protection device";"Published";"EG000017"
"EC002029";"4";"Foot and palm switch head element";"Published";"EG000017"
"EC002031";"6";"Foot and palm switch enclosure base";"Published";"EG000017"
"EC002032";"6";"Special tool for control circuit devices";"Published";"EG000017"
"EC002033";"6";"Emergency stop pull cord switch";"Published";"EG000017"
"EC002034";"7";"Emergency stop complete";"Published";"EG000017"
"EC002035";"5";"Phase separation plate for power circuit breaker";"Published";"EG000017"
"EC002036";"5";"Front bezel pushbutton";"Published";"EG000017"
"EC002037";"6";"Variable-voltage transformer";"Published";"EG000017"
"EC002040";"6";"Protective cap for command devices";"Published";"EG000017"
"EC002043";"4";"Chassis part power circuit breaker";"Published";"EG000017"
"EC002045";"7";"Voltage stabilizer";"Published";"EG000017"
"EC002046";"6";"Power supply transformer";"Published";"EG000017"
"EC002048";"7";"Current transformer";"Published";"EG000017"
"EC002049";"4";"Modification set for power circuit breaker";"Published";"EG000017"
"EC002050";"5";"Wiring set for power circuit breaker";"Published";"EG000017"
"EC002051";"6";"Padlock barrier for switch";"Published";"EG000017"
"EC002052";"4";"Time delay under voltage coil";"Published";"EG000017"
"EC002053";"5";"Power direction relay";"Published";"EG000019"
"EC002055";"7";"Solid state relay";"Published";"EG000019"
"EC002056";"4";"Cooling element for solid state relay";"Published";"EG000019"
"EC002057";"4";"Power relay";"Published";"EG000019"
"EC002059";"4";"Synchronization relay";"Published";"EG000019"
"EC002060";"5";"Timer block";"Published";"EG000019"
"EC002063";"6";"Accessories/spare parts for heating cables";"Published";"EG000043"
"EC002065";"5";"End cap for fibre optic duct";"Published";"EG000037"
"EC002066";"6";"Accessories/spare parts for splice cassette";"Published";"EG000037"
"EC002067";"5";"Fibre optic distribution box";"Published";"EG000037"
"EC002076";"4";"Microphone rod";"Published";"EG000041"
"EC002077";"4";"Tripod microphone";"Published";"EG000041"
"EC002078";"6";"Earth resistance meter";"Published";"EG000044"
"EC002079";"5";"Earth leakage switch tester";"Published";"EG000044"
"EC002080";"5";"Cable fault locator";"Published";"EG000044"
"EC002081";"5";"Temperature probe";"Published";"EG000044"
"EC002082";"5";"Dust-coat";"Published";"EG000046"
"EC002083";"7";"Combi vest";"Published";"EG000046"
"EC002084";"6";"Breathing mask";"Published";"EG000046"
"EC002085";"6";"Working trousers";"Published";"EG000046"
"EC002086";"5";"Aid for electrical engineering";"Published";"EG000046"
"EC002087";"6";"Earplug";"Published";"EG000046"
"EC002088";"6";"Shirt";"Published";"EG000046"
"EC002089";"5";"Heat resisting blanket";"Published";"EG000046"
"EC002090";"7";"Insulation mat/basin";"Published";"EG000046"
"EC002091";"6";"Jacket/coat";"Published";"EG000046"
"EC002092";"8";"Ear muff";"Published";"EG000046"
"EC002093";"7";"Leg/knee protection";"Published";"EG000046"
"EC002095";"7";"Overall/safety suit";"Published";"EG000046"
"EC002097";"6";"Pullover";"Published";"EG000046"
"EC002098";"7";"Protective glasses";"Published";"EG000046"
"EC002099";"8";"Protective glove";"Published";"EG000046"
"EC002100";"8";"Protective helmet";"Published";"EG000046"
"EC002103";"8";"Facial shield";"Published";"EG000046"
"EC002104";"6";"Footwear";"Published";"EG000046"
"EC002107";"7";"Dust-mask";"Published";"EG000046"
"EC002108";"4";"Inner glove";"Published";"EG000046"
"EC002109";"6";"Wire stripper pliers";"Published";"EG000050"
"EC002110";"6";"Pulley puller";"Published";"EG000050"
"EC002111";"6";"Square";"Published";"EG000050"
"EC002112";"6";"Axe";"Published";"EG000050"
"EC002113";"4";"Drawing cover";"Published";"EG000050"
"EC002118";"6";"Bit holder";"Published";"EG000050"
"EC002119";"6";"Bit screwdriver";"Published";"EG000050"
"EC002120";"8";"Bit set";"Published";"EG000050"
"EC002121";"7";"Hole punch set";"Published";"EG000050"
"EC002122";"6";"Snips";"Published";"EG000050"
"EC002123";"5";"Lead pencil";"Published";"EG000050"
"EC002124";"5";"Draper hand riveter";"Published";"EG000050"
"EC002125";"6";"Drill holder";"Published";"EG000050"
"EC002126";"5";"Accessories/spare parts for drill holder";"Published";"EG000050"
"EC002127";"5";"Bellows for drill hole";"Published";"EG000050"
"EC002128";"5";"Mounting/drill template installation boxes";"Published";"EG000050"
"EC002129";"7";"Crowbar";"Published";"EG000050"
"EC002130";"6";"Spanner";"Published";"EG000050"
"EC002131";"6";"Wire brush";"Published";"EG000050"
"EC002132";"6";"Momentum wrench";"Published";"EG000050"
"EC002133";"6";"Tommy bar for box spanner";"Published";"EG000050"
"EC002134";"6";"Drift punch";"Published";"EG000050"
"EC002135";"5";"Tamp tool for anchor sleeve";"Published";"EG000050"
"EC002136";"4";"Ground drill";"Published";"EG000050"
"EC002137";"5";"Scribe tip";"Published";"EG000050"
"EC002138";"7";"Paint roller";"Published";"EG000050"
"EC002140";"7";"File/rasp";"Published";"EG000050"
"EC002141";"7";"File handle";"Published";"EG000050"
"EC002142";"7";"Nail gun (gas driven)";"Published";"EG000050"
"EC002143";"5";"Angle saw case";"Published";"EG000050"
"EC002144";"5";"Angle clamp";"Published";"EG000050"
"EC002145";"6";"Angle gauge";"Published";"EG000050"
"EC002146";"6";"Scaffold";"Published";"EG000050"
"EC002148";"7";"Grip pliers";"Published";"EG000050"
"EC002149";"5";"Nibbler (hand)";"Published";"EG000050"
"EC002150";"6";"Hand broom";"Published";"EG000050"
"EC002151";"7";"Handle for socket spanner";"Published";"EG000050"
"EC002152";"6";"Handsaw blade";"Published";"EG000050"
"EC002153";"7";"Hoist sling";"Published";"EG000050"
"EC002154";"7";"Hexagonal screwdriver";"Published";"EG000050"
"EC002155";"7";"Tapping drill";"Published";"EG000050"
"EC002156";"6";"Deburrer";"Published";"EG000050"
"EC002157";"6";"Socket spanner for in-hexagonal";"Published";"EG000050"
"EC002158";"6";"Robertson screwdriver";"Published";"EG000050"
"EC002159";"5";"Inspection mirror";"Published";"EG000050"
"EC002160";"4";"Cable pulling pump";"Published";"EG000050"
"EC002161";"7";"Cable stocking";"Published";"EG000050"
"EC002162";"7";"Universal joint for socket spanner";"Published";"EG000050"
"EC002163";"7";"Caulking gun";"Published";"EG000050"
"EC002164";"6";"Dust pan";"Published";"EG000050"
"EC002165";"6";"Folding trestle";"Published";"EG000050"
"EC002166";"6";"Pincer";"Published";"EG000050"
"EC002167";"7";"Centre punch";"Published";"EG000050"
"EC002168";"6";"Pickaxe";"Published";"EG000050"
"EC002169";"6";"Socket spanner for crosshead screws";"Published";"EG000050"
"EC002170";"6";"Speed brace for socket spanner";"Published";"EG000050"
"EC002171";"5";"Varnish stripper";"Published";"EG000050"
"EC002172";"4";"Lamp extractor";"Published";"EG000050"
"EC002173";"6";"Machine vice";"Published";"EG000050"
"EC002174";"7";"Measuring tape";"Published";"EG000050"
"EC002175";"6";"Cross spanner";"Published";"EG000050"
"EC002176";"7";"Combination spanner";"Published";"EG000050"
"EC002177";"6";"Brick trowel";"Published";"EG000050"
"EC002178";"7";"Ruler";"Published";"EG000050"
"EC002179";"6";"Measuring wheel";"Published";"EG000050"
"EC002180";"5";"Fencing pliers";"Published";"EG000050"
"EC002181";"4";"NH-fuse extraction handle";"Published";"EG000050"
"EC002182";"6";"Oil canister";"Published";"EG000050"
"EC002183";"6";"Pipe vice";"Published";"EG000050"
"EC002184";"5";"Sealing pliers";"Published";"EG000050"
"EC002185";"7";"Cleaning cloth";"Published";"EG000050"
"EC002186";"6";"Adapter for socket spanner";"Published";"EG000050"
"EC002187";"6";"Scribe";"Published";"EG000050"
"EC002188";"7";"Ring spanner";"Published";"EG000050"
"EC002189";"6";"Pipe spring";"Published";"EG000050"
"EC002190";"5";"Pipe shears";"Published";"EG000050"
"EC002191";"6";"Tubular box spanner";"Published";"EG000050"
"EC002192";"6";"Adjustable spanner";"Published";"EG000050"
"EC002193";"7";"Hacksaw bow";"Published";"EG000050"
"EC002194";"5";"Shovel";"Published";"EG000050"
"EC002195";"6";"Hand protector for chisel";"Published";"EG000050"
"EC002196";"7";"Sand paper/emery cloth";"Published";"EG000050"
"EC002197";"6";"Socket spanner for slot head screws";"Published";"EG000050"
"EC002198";"7";"Cutting plate";"Published";"EG000050"
"EC002199";"7";"Bench-vice";"Published";"EG000050"
"EC002200";"6";"Glue clamp";"Published";"EG000050"
"EC002201";"5";"Wheelbarrow";"Published";"EG000050"
"EC002202";"6";"Vice plate for bench-vice";"Published";"EG000050"
"EC002203";"7";"Socket for hexagonal nuts";"Published";"EG000050"
"EC002204";"7";"Winch";"Published";"EG000050"
"EC002205";"8";"Hoist";"Published";"EG000050"
"EC002206";"7";"Hoist chain";"Published";"EG000050"
"EC002207";"5";"Plumb bob";"Published";"EG000050"
"EC002208";"5";"Spade";"Published";"EG000050"
"EC002209";"7";"Socket spanner set";"Published";"EG000050"
"EC002210";"7";"Hexagonal key set";"Published";"EG000050"
"EC002211";"5";"Siphon pliers";"Published";"EG000050"
"EC002212";"4";"Plate shear";"Published";"EG000050"
"EC002213";"6";"Socket spanner for Torx screws";"Published";"EG000050"
"EC002214";"6";"Torx wrench";"Published";"EG000050"
"EC002215";"5";"Funnel";"Published";"EG000050"
"EC002216";"6";"Stepladder";"Published";"EG000050"
"EC002217";"6";"Hoist block/pulley";"Published";"EG000050"
"EC002218";"7";"Ratchet";"Published";"EG000050"
"EC002219";"6";"Extension piece for screw bit";"Published";"EG000050"
"EC002220";"7";"Extension bar for socket spanners, spanners and ratchets";"Published";"EG000050"
"EC002221";"6";"Padlock";"Published";"EG000050"
"EC002222";"6";"End cutting pliers";"Published";"EG000050"
"EC002223";"6";"Washstand pliers";"Published";"EG000050"
"EC002224";"6";"Workbench";"Published";"EG000050"
"EC002225";"5";"Tool belt";"Published";"EG000050"
"EC002226";"5";"Accessories/spare parts for tapping drill";"Published";"EG000050"
"EC002227";"6";"Tap wrench";"Published";"EG000050"
"EC002228";"6";"Circlip pliers";"Published";"EG000050"
"EC002229";"6";"Compasses";"Published";"EG000050"
"EC002230";"8";"Adapter SDS-drill";"Published";"EG020002"
"EC002231";"7";"Drill chuck adaptor for core drill bit";"Published";"EG020002"
"EC002232";"6";"Drill chuck adaptor for hole saw";"Published";"EG020002"
"EC002234";"8";"Rotating steel brush";"Published";"EG020002"
"EC002235";"7";"Wall chase";"Published";"EG020002"
"EC002237";"7";"Circular saw blade";"Published";"EG020002"
"EC002238";"5";"Soldering gun";"Published";"EG000061"
"EC002239";"8";"Sabre saw blade";"Published";"EG020002"
"EC002240";"4";"Punching machine";"Published";"EG000051"
"EC002241";"6";"Drill stand";"Published";"EG020002"
"EC002242";"8";"Jig saw blade";"Published";"EG020002"
"EC002243";"6";"Table drilling machine";"Published";"EG000051"
"EC002244";"6";"Table circular saw machine, semi-stationary (electric)";"Published";"EG000051"
"EC002245";"6";"Bench grinder";"Published";"EG000051"
"EC002246";"6";"Centre drill";"Published";"EG020002"
"EC002247";"7";"Handicapped person element for domestic switching devices";"Published";"EG000013"
"EC002248";"4";"Mounting for labelling material";"Published";"EG000013"
"EC002249";"5";"Infrared switch";"Published";"EG000013"
"EC002250";"7";"Transition adapter for domestic switching devices";"Published";"EG000013"
"EC002251";"5";"Central-element clinic-installation";"Published";"EG000013"
"EC002252";"4";"Circuit board for bus system";"Published";"EG000032"
"EC002253";"8";"Touch rocker for bus system";"Published";"EG000032"
"EC002254";"6";"Cable insulation hose";"Published";"EG000047"
"EC002255";"5";"Test plug terminal block";"Published";"EG000044"
"EC002257";"5";"Connection bend for installation tubes";"Published";"EG000002"
"EC002258";"5";"Ground mounting for cable protection tubes for underground application";"Published";"EG000002"
"EC002259";"6";"Cable exit for cable protection tubes for underground application";"Published";"EG000002"
"EC002260";"5";"Mounting wedge for installation tubes";"Published";"EG000002"
"EC002261";"5";"Mounting coupler for cable protection tubes for underground application";"Published";"EG000002"
"EC002262";"6";"Mounting plate for installation tubes/cable protection tubes";"Published";"EG000002"
"EC002264";"5";"Reducing sleeve for installation tubes";"Published";"EG000002"
"EC002265";"7";"End cap for cable protection tube for underground application";"Published";"EG000002"
"EC002266";"6";"Tee for cable protection tubes for underground application";"Published";"EG000002"
"EC002267";"6";"Strain relief for cable protection tubes for underground application";"Published";"EG000002"
"EC002268";"4";"Cover cap for rail terminal bar";"Published";"EG000015"
"EC002269";"7";"Accessories/spare parts for tap off unit busbar trunk";"Published";"EG000015"
"EC002270";"8";"Accessories/spare parts for busbars";"Published";"EG000015"
"EC002271";"7";"Accessories/spare parts for busbar trunks";"Published";"EG000015"
"EC002272";"7";"Accessories/spare parts for feed unit busbar trunks";"Published";"EG000015"
"EC002273";"4";"Phase barrier plate";"Published";"EG000015"
"EC002274";"7";"Busbar housing";"Published";"EG000015"
"EC002275";"5";"Distributor assembly D-system fuse systems";"Published";"EG000015"
"EC002276";"4";"Distributor assembly RCCB";"Published";"EG000015"
"EC002277";"4";"Switch fuse enclosure";"Published";"EG000015"
"EC002278";"4";"Distributor assembly miniature circuit breaker (MCB)";"Published";"EG000015"
"EC002280";"4";"Distributor assembly with main switch";"Published";"EG000015"
"EC002281";"4";"Distributor assembly with combination RCCB/MCB";"Published";"EG000015"
"EC002283";"5";"Distributor assembly with power circuit-breaker";"Published";"EG000015"
"EC002284";"4";"Distributor assembly with zero voltage switch";"Published";"EG000015"
"EC002286";"4";"Distributor assembly Low Voltage HRC fuse systems";"Published";"EG000015"
"EC002287";"7";"Accessories/spare parts for small distribution board";"Published";"EG000023"
"EC002288";"6";"Small distribution board equipped";"Published";"EG000023"
"EC002289";"4";"Quick release fastener for housing covers";"Published";"EG000015"
"EC002290";"5";"C-clamp for round wire";"Published";"EG000021"
"EC002291";"5";"Earthing strap clamp";"Published";"EG000021"
"EC002292";"6";"Ampere meter for installation";"Published";"EG000062"
"EC002293";"5";"Var meter for installation";"Published";"EG000062"
"EC002294";"5";"Built-in rotational speed meter";"Published";"EG000062"
"EC002295";"7";"Accessories/spare parts for measuring instruments for installation";"Published";"EG000062"
"EC002296";"7";"Accessories/spare parts for time switches";"Published";"EG000062"
"EC002297";"7";"Residual current circuit breaker (RCCB) module";"Published";"EG000020"
"EC002298";"6";"Blade fuse";"Published";"EG000020"
"EC002299";"5";"Frequency meter for installation";"Published";"EG000062"
"EC002300";"6";"Impulse meter for installation";"Published";"EG000062"
"EC002301";"5";"Multifunction measuring instrument";"Published";"EG000062"
"EC002302";"6";"Measuring scale";"Published";"EG000062"
"EC002303";"4";"Shunt";"Published";"EG000062"
"EC002304";"6";"Analogous time switch for distribution board";"Published";"EG000062"
"EC002305";"6";"Digital time switch for distribution board";"Published";"EG000062"
"EC002306";"5";"Voltmeter for installation";"Published";"EG000062"
"EC002307";"4";"Resistor";"Published";"EG000062"
"EC002308";"6";"Effective power converter meter for installation";"Published";"EG000062"
"EC002309";"6";"Adapter plate industrial connectors";"Published";"EG000058"
"EC002310";"6";"Fixing element for industrial connectors";"Published";"EG000058"
"EC002311";"7";"Coding element for industrial connectors";"Published";"EG000058"
"EC002312";"6";"Module carrier frame for industrial connectors";"Published";"EG000058"
"EC002313";"5";"Protective cover for CEE plugs";"Published";"EG000014"
"EC002314";"7";"Cap for industrial connectors";"Published";"EG000058"
"EC002315";"4";"Padlock guard for CEE plugs";"Published";"EG000014"
"EC002316";"4";"Sealing disc for cable screw gland";"Published";"EG000009"
"EC002317";"5";"Earthing lug for cable screw gland";"Published";"EG000009"
"EC002318";"4";"Cut-out sealing ring for cable inlet";"Published";"EG000009"
"EC002319";"6";"Wire connector";"Published";"EG000047"
"EC002320";"5";"Pressure saddle clamp (cables/conduits)";"Published";"EG000010"
